
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Jul 27 17:38:35 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:       160.0000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:     409691244037148644
    Points in real space:                    82

    Input  1:                      D:/Maxim/Mic9/mic9_mer2.dat
    First data point used:                    1
    Last data point used:                   107
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.837   1.329   0.004   0.906   1.000   0.871   0.848
               --------------------------------------------------------
    Estimate      0.811   0.864   0.999   1.000   1.000   0.650   0.135

    Angular range:                       0.0164 to       0.1746
    Reciprocal space Rg:             0.4813E+02
    Reciprocal space I(0):           0.2659E+03

    Real space range:                    0.0000 to     160.0000
    Real space Rg:                   0.4828E+02 +-   0.1970E+00
    Real space I(0):                 0.2659E+03 +-   0.9129E+00

    Highest ALPHA (theor):           0.1843E+07
    Current ALPHA:                   0.7341E+01

    Total Estimate:                      0.8605 (a GOOD solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG

   0.000000E+00                                                0.265888E+03
   0.205564E-02                                                0.265016E+03
   0.411128E-02                                                0.262421E+03
   0.616691E-02                                                0.258157E+03
   0.822255E-02                                                0.252317E+03
   0.102782E-01                                                0.245025E+03
   0.123338E-01                                                0.236431E+03
   0.143895E-01                                                0.226710E+03
   0.164451E-01   0.214649E+03   0.845223E+00   0.216052E+03   0.216052E+03
   0.185621E-01   0.204237E+03   0.754155E+00   0.204310E+03   0.204310E+03
   0.206792E-01   0.192820E+03   0.690058E+00   0.192012E+03   0.192012E+03
   0.227962E-01   0.180946E+03   0.643322E+00   0.179381E+03   0.179381E+03
   0.249132E-01   0.166751E+03   0.601374E+00   0.166629E+03   0.166629E+03
   0.270303E-01   0.152739E+03   0.565705E+00   0.153954E+03   0.153954E+03
   0.291474E-01   0.141500E+03   0.540225E+00   0.141536E+03   0.141536E+03
   0.312644E-01   0.129008E+03   0.513640E+00   0.129529E+03   0.129529E+03
   0.333815E-01   0.118801E+03   0.491589E+00   0.118062E+03   0.118062E+03
   0.354985E-01   0.106660E+03   0.467231E+00   0.107238E+03   0.107238E+03
   0.376155E-01   0.979680E+02   0.448237E+00   0.971291E+02   0.971291E+02
   0.397326E-01   0.877638E+02   0.429086E+00   0.877837E+02   0.877837E+02
   0.415482E-01   0.805680E+02   0.365177E+00   0.803957E+02   0.803957E+02
   0.426670E-01   0.770334E+02   0.301154E+00   0.761325E+02   0.761325E+02
   0.436741E-01   0.726794E+02   0.350428E+00   0.724822E+02   0.724822E+02
