Sample description: CaMK2a_WT_4mgmL_20mMMES_150mMNaCl_1mMDTT
Sample: CaMK2a_WT_4mgmL  c= 6.08 mg/ml  Code: CaMK2a_WT_4mgmL_MES_red
Parent(s): /Users/nqd670/Documents/Projects/CamKIIa_local/P12_Oct2022/analysis/FINAL_WT_6x_highconc/sub_002.dat
  6.986860e-02   1.258074e-01   1.059204e-03
  7.266340e-02   1.248057e-01   1.009279e-03
  7.545810e-02   1.224542e-01   9.777143e-04
  7.825290e-02   1.238467e-01   9.595661e-04
  8.104760e-02   1.215272e-01   9.244921e-04
  8.384240e-02   1.194897e-01   8.850500e-04
  8.663710e-02   1.192766e-01   8.682554e-04
  8.943190e-02   1.168296e-01   8.455303e-04
  9.222660e-02   1.183377e-01   8.456512e-04
  9.502130e-02   1.165697e-01   7.974299e-04
  9.781610e-02   1.162297e-01   7.990401e-04
  1.006110e-01   1.160378e-01   7.743498e-04
  1.034060e-01   1.146208e-01   7.719655e-04
  1.062000e-01   1.136080e-01   7.454025e-04
  1.089950e-01   1.130081e-01   7.176109e-04
  1.117900e-01   1.128027e-01   7.248936e-04
  1.145850e-01   1.105604e-01   7.027763e-04
  1.173790e-01   1.112500e-01   6.967661e-04
  1.201740e-01   1.100895e-01   6.772778e-04
  1.229690e-01   1.079175e-01   6.618360e-04
  1.257640e-01   1.082358e-01   6.695199e-04
  1.285580e-01   1.070945e-01   6.451372e-04
  1.313530e-01   1.073658e-01   6.310752e-04
  1.341480e-01   1.069191e-01   6.321691e-04
  1.369430e-01   1.055084e-01   6.140890e-04
  1.397370e-01   1.044006e-01   6.186819e-04
  1.425320e-01   1.039287e-01   5.897535e-04
  1.453270e-01   1.048398e-01   5.995921e-04
  1.481220e-01   1.030772e-01   5.811321e-04
  1.509160e-01   1.019738e-01   5.744388e-04
  1.537110e-01   1.015490e-01   5.673492e-04
  1.565060e-01   1.005342e-01   5.587620e-04
  1.593000e-01   1.000794e-01   5.587571e-04
  1.620950e-01   9.944796e-02   5.458737e-04
  1.648900e-01   9.907850e-02   5.394658e-04
  1.676850e-01   9.764456e-02   5.294069e-04
  1.704790e-01   9.833433e-02   5.288155e-04
  1.732740e-01   9.630492e-02   5.222847e-04
  1.760690e-01   9.669901e-02   5.164395e-04
  1.788640e-01   9.546579e-02   5.038906e-04
  1.816580e-01   9.456831e-02   4.988308e-04
  1.844530e-01   9.497998e-02   4.984896e-04
  1.872480e-01   9.291691e-02   4.934821e-04
  1.900430e-01   9.280016e-02   4.782495e-04
  1.928370e-01   9.169183e-02   4.831058e-04
  1.956320e-01   9.092681e-02   4.734140e-04
  1.984270e-01   9.002933e-02   4.645727e-04
  2.012220e-01   8.927033e-02   4.595979e-04
  2.040160e-01   8.923793e-02   4.601752e-04
  2.068110e-01   8.841997e-02   4.726748e-04
  2.096060e-01   8.811956e-02   4.684184e-04
  2.124010e-01   8.791324e-02   4.659240e-04
  2.151950e-01   8.615924e-02   4.645089e-04
  2.179900e-01   8.557701e-02   4.599965e-04
  2.207850e-01   8.452275e-02   4.619214e-04
  2.235800e-01   8.412643e-02   4.579513e-04
  2.263740e-01   8.406378e-02   4.533321e-04
  2.291690e-01   8.324812e-02   4.550372e-04
  2.319640e-01   8.235263e-02   4.501240e-04
  2.347590e-01   8.145827e-02   4.489967e-04
  2.375530e-01   8.138317e-02   4.442140e-04
  2.403480e-01   8.033725e-02   4.420686e-04
  2.431430e-01   7.968312e-02   4.423030e-04
  2.459380e-01   7.844947e-02   4.378286e-04
  2.487320e-01   7.776525e-02   4.298419e-04
  2.515270e-01   7.725771e-02   4.285354e-04
  2.543220e-01   7.682742e-02   4.283604e-04
  2.571170e-01   7.513673e-02   4.223141e-04
  2.599110e-01   7.520780e-02   4.207099e-04
  2.627060e-01   7.376390e-02   4.119804e-04
  2.655010e-01   7.325594e-02   4.167036e-04
  2.682960e-01   7.323480e-02   4.108817e-04
  2.710900e-01   7.104641e-02   4.033137e-04
  2.738850e-01   7.155857e-02   4.068768e-04
  2.766800e-01   7.067993e-02   4.011655e-04
  2.794750e-01   7.053419e-02   4.046179e-04
  2.822690e-01   6.926505e-02   3.957337e-04
